LE_at_birth,Access_to_Electricity,Gender_Development_Index,Human_Development_Index,Gender_Inequality_Index
72.241,100.0,0.958,0.7420280883446968,0.647
72.319,94.07005320812658,0.98,0.73,0.3476086110646905
77.27560976,100.0,0.971741529985531,0.867,0.184
77.42509026123722,100.0,0.9707946885171658,0.829,0.204
76.19219512,100.0,0.958,0.819,0.179
54.154,14.29,0.658,0.349454208092429,0.725
71.56097561,100.0,0.9445344036493203,0.684,0.362
65.85818604407238,67.0,0.887,0.6,0.5507253458658105
72.843,95.99897588941157,0.9785083936841518,0.727,0.405
59.473,47.72657752870174,0.962,0.5785745970379153,0.578
77.59341463,100.0,0.97126576112909,0.864,0.189
78.88614656254589,100.0,0.942,0.8616987864107204,0.13
73.574,94.78162384,0.928,0.715,0.506
54.658,29.0,0.84,0.449,0.705
68.813,91.83665466,0.935659447096544,0.6755376065185891,0.4576914271343202
73.48633881232803,100.0,0.915,0.719,0.4126653775013279
74.6501890638325,100.0,0.936,0.742,0.3218924793125819
75.3195122,100.0,0.946,0.835,0.2008317362690345
75.15780488,100.0,0.9886239606174897,0.838,0.09
67.625,76.80641382425529,0.897,0.583,0.576
76.97121951,99.85762573981852,0.948,0.764,0.2933047909912044
69.37317073,100.0,1.02,0.729,0.389
75.22756098,100.0,1.003,0.8451253097151821,0.104
76.84878049,100.0,0.982,0.799,0.228
76.08292683,100.0,0.97,0.809,0.254
76.26602226921995,100.0,0.921,0.769,0.296
69.37707317,100.0,0.9824543060141241,0.715,0.332
63.537,48.9,0.8783254265657899,0.532,0.594
75.025,99.59960734297994,0.957,0.743,0.213
77.99195122,100.0,0.9700623161000977,0.822,0.23594260873847456
76.75853659,100.0,0.9670566672166602,0.793,0.264
77.0195122,100.0,0.952230353594139,0.783,0.206
69.38280774549703,97.85468292,0.813,0.6616339269733459,0.5641714869773637
79.03682927,99.83478765570464,0.9712213521407448,0.849,0.161
72.04634146,99.91267395,0.9,0.747,0.4402847453106986
74.216,100.0,0.931,0.68,0.3762151739116358
69.03243902,92.62590475381698,0.9909426400398194,0.727,0.416
68.45835289099827,86.76812961789325,0.961,0.644,0.48270637879528067
75.35546341,99.70473963344978,0.882,0.7342459678361812,0.41957674229861014
69.95609756,99.07067871,0.899,0.633,0.509
77.0,99.76014918972963,0.942,0.852,0.122
77.4971324087384,99.7961189331318,0.978,0.845,0.129
76.90462914962806,100.0,0.9724265247448381,0.811,0.237
70.58780488,100.0,0.9761003857001689,0.713,0.278
74.01463415,100.0,0.971,0.747767172281974,0.34492803699684654
63.59587991772289,93.41410291401293,0.9673699558137595,0.45976243910924375,0.504
50.213,5.852342739514414,0.757,0.342,0.741
77.06844701207578,99.67100168902294,0.964,0.7939005759757104,0.282
75.20659631108157,99.65676652664634,0.987,0.813,0.2606145760415268
46.316,5.6,0.795,0.3464320864617658,0.66
68.81494858485159,100.0,0.9179411665326628,0.8243293517707982,0.3179968830516367
75.36585366,100.0,0.988,0.873,0.14577176664386632
55.224725902411805,27.120120090468998,0.835,0.46333645773109616,0.66
72.306,100.0,0.957,0.742,0.36191543739018245
72.43,92.82945251,0.9767017397139451,0.735,0.436
77.37804878,100.0,0.9715164285950347,0.8415215579103574,0.184
76.99903072639985,100.0,0.944,0.8132098087269274,0.201
76.35121951,100.0,0.962,0.835,0.175
56.190045117133764,25.471951156729745,0.679,0.413,0.721
71.49439024,100.0,0.979,0.7276208225629294,0.3206211520016253
69.979,72.22491455,0.891,0.5962893112857012,0.558
72.915,96.11621548281622,0.966,0.727,0.405
76.50316385650915,99.57551180826476,0.965,0.7959139823247041,0.28900129023095966
78.50689908388969,99.88645385111523,0.984,0.868,0.188
78.40481318482293,99.7673480370739,0.942,0.856,0.15415618030270106
69.32179422105582,94.560057,0.9203470460349054,0.7881130700443939,0.4165304710431018
54.481,32.69752502,0.84,0.44771205171585127,0.704
69.038,92.13265991,0.975,0.6796060098373289,0.528
73.66746385935716,100.0,0.922,0.7535923240374478,0.36
73.52749973012551,100.0,0.954,0.743,0.284
75.8195122,99.65489932620014,0.9792932299593615,0.8141491318135727,0.162
80.9887669943783,100.0,0.9755024926564463,0.9058548314341804,0.094
68.85945231135429,82.48540497,0.903,0.593,0.5248752911297973
67.76546270439552,93.4,0.827,0.585,0.65
77.41,100.0,0.954,0.772,0.17
68.86341463,96.40258327934556,1.01,0.719,0.384
75.45536585,99.84086020735516,1.005,0.825,0.1
77.1,100.0,0.9688721586896211,0.806,0.2576835653904977
76.43414634,100.0,0.969,0.8025908050240586,0.25
77.38292683,100.0,0.9464131429459907,0.769,0.287
69.11707317,100.0,0.9819003077349189,0.714,0.327
63.68882851859745,66.69656372,0.865,0.54,0.586
74.19017776448457,100.0,0.9446957473827359,0.751,0.209
78.7602439,100.0,0.9702534577685834,0.8569194997956765,0.174
