Carbon_dioxide_emissions,Electricity_production_non_renewable,Electricity production_renewable,Micro_air_pollution,Greenhouse_emission
-34.08701146,7.857517025,0.0,22.70311049,-21.51916292
-12.12273642,4.949911609,0.14748242,20.08096025,-52.15879991
-67.51603589,6.092377444,0.07857517,22.29713188,-46.23980304
-64.71552788,4.313625983,0.0,7.891232078,-40.21741957
-68.83894455,0.021626298,0.0,22.01373098,-73.21821984
-69.07061407,4.279505182,0.0,21.95188313,-45.58355656
-76.21325631,3.825554705,0.0,24.38804463,-52.04806117
-71.18572675,3.679780779,0.0,17.34147308,-49.7204234
-53.64503415,2.670841776,0.0,18.63655614,130.4812976
-51.4201041,3.276003276,0.0,22.26518857,-37.38611046
-2.640606783,19.31205521,0.0,22.36600621,-28.52042824
-23.25888793,99.95456611,2.500029876,26.59893146,-30.28009675
-21.06899838,2.143429487,0.0,22.59344935,-28.61130616
-33.58305503,34.95989305,0.0,22.67592295,-26.7812714
-77.63974651,1.286055484,0.0,18.94505949,-30.30437006
-29.53197556,1.683562636,0.0,43.73251755,-29.91166246
-35.92329778,2.517482517,0.0,22.45060148,-30.2904996
-36.87908054,0.0,0.0,26.335955,-18.48078631
-35.67560249,83.19062047,0.0,21.01104291,-32.35893301
-31.42431627,89.17929235,0.0,20.81411047,-29.68279975
-25.37082167,1.407778573,0.0,22.79990425,42.68953205
-31.77482926,0.0,0.0,24.73371572,-28.71360086
-28.23058639,0.0,0.0,19.40753225,55.80017136
53.49265962,77.07175646,3.576537911,19.36794422,-22.18754605
-26.75933448,93.55935158,0.0,19.12155731,-23.5806611
6.021206803,53.26830062,0.0,22.73088781,2.180182045
17.65417776,98.91173575,0.0,23.1553408,8.507617888
18.08011001,98.18172453,0.0,50.37869322,12.24530784
14.3078196,99.16511593,0.0,24.13781054,9.949008444
12.17878382,32.51940492,1.291105402,24.68320649,16.91433569
0.598505679,99.34637358,0.0,25.41090842,-44.28669902
14.12157546,99.91940745,0.0,26.335955,13.42779921
14.37024452,99.07574585,0.0,27.25214078,12.75556613
19.11998539,99.18002989,0.0,40.32226677,82.25615523
37.68542462,99.78750197,0.0,28.23310812,23.20852661
20.68988363,99.74084507,0.0,46.06109191,18.10350311
27.31752491,20.41522491,0.0,19.58433966,51.74254528
10.61957348,99.10385175,0.0,27.50189844,-2.475407295
41.95485791,99.1968,0.0,22.69446282,16.93189578
44.53678947,98.36355595,0.0,26.70662581,29.09836318
51.92133283,23.81434941,0.0,26.33557009,35.18856045
98.95886984,99.39240779,0.0,25.93054224,34.36086448
62.86365457,99.29664977,0.0,17.53608296,50.4194466
170.2464789,99.20521545,0.0,24.97203955,67.74373343
-8.54009753,99.61953907,16.77782982,24.54848349,34.81454961
80.66623872,96.05245551,0.0,25.14459676,47.62949929
102.10051,79.60819234,0.0,24.39681643,78.76347371
108.3958564,70.27802962,1.159538097,22.38026402,60.98642167
59.58556333,99.60462003,0.0,24.11112295,49.48478801
