GDP_Growth_Rate,Inflation_Rate,GDP_Per_Capita,Unemployment_Rate,Cost of Living Index,Local Purchasing Power Index,Country,Year,Economic_Index_FA,Economic_Index_PCA
1.137275544,14.71955041,253.3823695,12.91454083,29.53309187,26.44342224,Africa Eastern and Southern,1970,-0.674,-1.316
17.56641211,4.400538323,219.8653684,7.95721671,48.87119227,11.14112134,Africa Western and Central,1970,-0.5,-1.015
22.32043828,24.35493525,351.870854,10.33517135,34.60917002,31.85899022,Arab World,1970,-0.566,-1.078
3.045643319,7.878359854,13823.90985,10.25994312,41.46102856,26.21335066,Argentina,1970,0.009,-0.386
7.175799265,3.439153439,3304.83782,9.488255773,40.21179867,36.1773556,Australia,1970,-0.337,-0.551
7.122875502,4.372824416,2058.769051,10.41949475,37.77885524,39.66032339,Austria,1970,-0.396,-0.613
21.32567073,-0.199650611,69.39510892,2.374107557,48.52955816,24.9187754,Burundi,1970,-0.41,-0.583
6.352672114,3.908472385,2765.890997,10.01508543,38.5232891,37.67814924,Belgium,1970,-0.371,-0.598
2.097757581,10652.27588,110.34695,3.402701254,31.53988283,26.23737688,Benin,1970,-0.707,-2.316
0.117019611,1.772603315,81.68773209,2.891163662,42.30826705,24.09010936,Burkina Faso,1970,-0.496,-0.696
5.619852293,9754.536684,133.1429452,2.365097524,34.63131878,30.53395897,Bangladesh,1970,-0.626,-1.991
-5.649649519,6.152093421,3005.784399,10.78439494,32.97040776,38.43299693,"Bahamas, The",1970,-0.433,-0.705
4.807693364,17.27722648,441.1719393,9.029641712,31.57290233,26.43751392,Belize,1970,-0.633,-1.174
6.31229236,11.20049449,3387.272727,9.822889224,33.35766381,35.81576527,Bermuda,1970,-0.435,-0.801
5.231029301,3.955509211,219.55969,2.626911502,41.84782506,23.40073353,Bolivia,1970,-0.504,-0.752
10.4,4.5772984,6488.663742,9.909427206,35.27671303,36.06667798,Brazil,1970,-0.292,-0.648
9.509402995,7.284216374,688.5346662,6.933895187,38.04267656,25.5897425,Barbados,1970,-0.535,-0.941
17.12026767,4.540345144,162.506051,8.590172214,47.06952212,11.4709651,Botswana,1970,-0.526,-1.084
2.332880877,10.34808125,91.47264874,19.3697379,42.73180366,11.86268782,Central African Republic,1970,-0.598,-1.379
2.918713242,3.346039814,4135.821498,10.17098844,42.62280473,37.33640319,Canada,1970,-0.262,-0.396
6.377406519,3.615986786,4044.420682,10.02685253,43.8265676,36.75588246,Switzerland,1970,-0.253,-0.391
1.82896697,16.18831038,931.1267372,12.49260067,29.10985191,28.34119422,Chile,1970,-0.641,-1.255
19.3,31.43247775,113.1625778,10.42311699,33.46153638,30.09793332,China,1970,-0.602,-1.154
10.37503184,8.205190543,265.7403582,2.44311015,49.45627144,22.98179381,Cote d'Ivoire,1970,-0.398,-0.524
3.092068234,5.858085809,178.4061667,2.66273281,35.99145679,26.62113229,Cameroon,1970,-0.568,-0.865
-0.245056575,8.025284045,16750.31875,13.68198705,37.55801229,33.77408699,"Congo, Dem. Rep.",1970,0.11,-0.288
6.358470187,12.92327178,196.8238117,12.7450767,31.71101247,25.80311328,"Congo, Rep.",1970,-0.651,-1.287
6.207796961,6.908622758,344.3325998,2.646184763,40.66876749,27.73098995,Colombia,1970,-0.488,-0.688
7.503134343,4.652297493,530.7063376,2.970325458,41.74121749,24.92069,Costa Rica,1970,-0.486,-0.73
1.078585387,15.34094448,709.9327389,12.75926392,29.72295735,26.36854075,Caribbean small states,1970,-0.654,-1.292
5.103144545,3.450249364,2761.166833,9.687702848,39.60230891,37.77126909,Germany,1970,-0.354,-0.542
1.596841747,6.514841417,3464.455156,10.13108901,33.33659683,39.07083576,Denmark,1970,-0.409,-0.693
18.22668288,3.816666666,331.8907091,2.052527982,41.88910305,26.34540983,Dominican Republic,1970,-0.485,-0.744
8.86265711,6.599999999,352.5338404,6.14846473,37.86707181,23.72073814,Algeria,1970,-0.562,-0.983
13.44169049,11.99744062,113.8319801,18.99409104,47.06952212,11.55933315,East Asia & Pacific (excluding high income),1970,-0.541,-1.297
8.289922,3.812664908,215.3002986,6.992633073,41.6159573,24.35527742,Early-demographic dividend,1970,-0.509,-0.856
3.891123438,3103.153623,320.2438084,2.569243733,34.59197555,30.75183274,East Asia & Pacific,1970,-0.575,-1.179
4.984959216,12.41191879,1384.314136,9.168068776,31.6044936,34.15686071,Europe & Central Asia,1970,-0.545,-0.95
6.87192933,5.17127612,463.7724284,6.814338089,38.68005928,27.85809914,Ecuador,1970,-0.518,-0.849
5.598515038,3.762898596,231.2174024,2.638123703,41.84782506,23.86240889,"Egypt, Arab Rep.",1970,-0.501,-0.743
5.59703132,4.1406484,2215.089405,10.84914349,37.50360412,38.50517236,Euro area,1970,-0.402,-0.646
4.244970767,5.731144843,1212.289326,6.369837116,32.8667841,27.71208879,Spain,1970,-0.573,-1.004
3.48272874,10.12195122,107.5783521,8.28645571,32.75592238,25.90818548,Ethiopia,1970,-0.631,-1.131
5.508305287,4.50608893,1888.62756,10.98443008,37.90557327,39.79006443,European Union,1970,-0.4,-0.613
12.2177344,3599.690174,214.4787957,2.205118203,35.45580914,30.52946139,Fragile and conflict affected situations,1970,-0.575,-1.263
7.470432644,2.740420431,2465.644819,10.28118241,40.51283536,37.18053878,Finland,1970,-0.358,-0.564
12.70271113,4.124178563,416.7253857,2.096182684,43.74989103,23.11724333,Fiji,1970,-0.474,-0.722
6.108679758,5.299641246,2870.15751,9.942585318,34.9511334,37.5389825,France,1970,-0.42,-0.72
8.679342176,3.812664908,542.2083275,6.80801847,41.85127355,24.35527742,Gabon,1970,-0.494,-0.835
2.708581505,6.366568417,2347.544318,9.922185509,34.45262183,40.10141721,United Kingdom,1970,-0.428,-0.669
12.05207582,12.38555939,1951.156544,7.085336667,32.06649031,36.83756296,Georgia,1970,-0.499,-0.845
9.723472587,3.030303031,249.9133518,2.024116117,43.22427265,25.01092464,Ghana,1970,-0.474,-0.678
6.153846573,-1.98509388,98.90867695,8.365772607,50.24047777,28.76745558,"Gambia, The",1970,-0.36,-0.463
8.930580656,2.841670679,1494.387984,11.42770353,38.69484628,37.48374436,Greece,1970,-0.421,-0.689
5.707883598,2.344339349,349.0249756,2.604855327,41.23925285,23.27553995,Guatemala,1970,-0.509,-0.775
4.255456893,18.64582565,379.7175797,9.440026461,31.57290233,26.31055846,Guyana,1970,-0.637,-1.185
3.019043913,4.688167086,2441.674489,11.57444661,44.58098101,9.816175874,High income,1970,-0.486,-1.11
9.206830693,15.37050781,960.0319615,9.738922859,31.84213984,27.67932049,"Hong Kong SAR, China",1970,-0.605,-1.16
